name,memory_mib,cpu_milli,gpu_milli,gpu_spec,qos,time,from,offload,to,start,end,run,complete_cpu,complete_size_cpu,complete_gpu,complete_size_gpu,off_start,off_end,offload_success,complete_offload
openb-pod-6925,49152,449627.0,39.79,-1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4595,90112,588141.0,36.989999999999995,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2602,30517,543600.0,43.488,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1666,47104,643032.0,25.38,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5981,15258,101720.0,58.489,-1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0440,30517,425600.0,170.24,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6340,16384,160076.0,80.038,-1,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5621,49152,619240.0,54.8,0,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5163,32768,577760.0,36.11,1,1,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
openb-pod-8125,30517,240000.0,141.0,2,2,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5203,49152,316400.0,28.0,2,1,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6674,49152,798910.0,70.7,-1,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5840,48128,321252.0,28.18,-1,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3725,6144,503400.0,38.594,2,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5404,49152,508500.0,45.0,1,1,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1198,57344,280000.0,0.0,-1,1,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3659,64512,136961.268,73.21000000000001,2,1,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6013,49152,690430.0,61.1,1,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7016,49152,395500.0,35.0,-1,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4775,22888,222984.0,183.96179999999998,-1,2,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-8129,47104,509067.0,20.0925,-1,1,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7947,49152,413580.0,36.6,1,1,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0921,48128,235752.0,20.68,-1,1,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4098,47104,161913.076,63.905899999999995,2,1,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2662,51200,141325.8,0.0,-1,1,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3215,77824,602140.0,50.6,0,1,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6236,49152,937900.0,83.0,-1,1,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2296,15258,162560.0,20.32,-1,2,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6354,49152,483200.0,0.0,-1,2,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0
